,year,transmission,selling_price,engine,max_power,torque
0,2014,1,450000,1248,242,178
1,2014,1,370000,1498,13,260
2,2006,1,158000,1497,251,66
3,2010,1,225000,1396,295,224
4,2007,1,130000,1298,286,21
5,2017,1,440000,1197,261,36
6,2007,1,96000,1061,193,402
7,2001,1,45000,796,170,388
8,2011,1,350000,1364,222,144
9,2013,1,200000,1399,226,139
10,2014,1,500000,1461,23,249
11,2005,1,92000,993,200,411
12,2009,1,280000,1248,239,178
14,2009,1,180000,1061,218,415
15,2016,1,400000,1198,262,54
16,2016,1,778000,1248,287,193
17,2012,1,500000,1396,295,224
18,2002,1,150000,796,178,398
19,2016,1,680000,1396,290,221
20,2011,1,174000,1461,210,139
21,2017,1,950000,1498,311,193
22,2015,1,525000,1248,242,178
23,2012,1,600000,1248,292,193
24,2018,1,500000,1199,272,49
25,2016,1,575000,1197,268,55
26,2017,1,275000,796,180,400
27,2013,1,300000,1248,238,148
28,2009,1,220000,1061,218,415
29,2018,1,254999,796,167,388
30,2017,1,670000,1248,287,193
32,2012,1,150000,796,168,390
33,2018,1,730000,1197,260,48
34,2017,1,650000,1248,287,193
35,2019,1,330000,796,175,392
36,2019,1,366000,998,222,424
37,2019,1,1149000,1591,49,127
38,2016,1,150000,1198,218,10
39,2011,1,425000,2179,69,302
40,2012,1,150000,796,170,388
41,2019,0,2100000,1368,99,266
42,2018,1,925000,1497,40,115
43,2013,1,425000,1497,36,118
44,2018,0,675000,1197,270,55
45,2018,1,819999,1248,287,193
46,2018,1,390000,998,220,424
47,2014,1,1500000,2982,109,318
48,2013,1,700000,2494,0,191
49,2014,0,1450000,2143,47,189
50,2015,1,425000,1498,312,193
51,2013,1,1090000,2477,121,351
52,2015,1,600000,1498,311,193
53,2018,1,850000,1462,9,98
54,2015,1,525000,1498,311,193
55,2016,0,1650000,2755,116,328
56,2016,1,950000,2494,3,188
57,2013,0,1750000,1968,117,335
58,2018,0,1590000,1798,69,150
59,2013,0,1689999,1968,135,350
60,2013,0,1425000,2143,112,346
61,2011,1,265000,1248,292,192
62,2011,1,190000,1197,253,32
63,2013,1,425000,1396,291,219
64,2015,1,630000,1248,242,178
65,2017,1,600000,1196,283,34
66,2019,1,650000,1197,268,55
67,2016,1,540000,1498,24,261
68,2015,1,630000,1498,311,193
69,2018,0,448000,998,218,424
70,2017,1,500000,1498,27,261
71,2016,1,745000,1248,287,193
72,2019,0,1025000,1248,287,193
73,2011,1,235000,1197,253,32
74,2016,1,630000,1248,242,178
75,2015,1,1700000,2982,109,318
76,2013,1,450000,1248,242,178
77,2012,1,450000,1373,302,85
79,2013,1,450000,1598,14,260
80,2016,1,1200000,2494,3,188
81,2015,1,610000,1498,310,199
82,2016,0,2500000,1998,137,283
83,2017,1,484999,998,219,424
84,2016,1,275000,1198,220,10
85,2016,1,315000,796,180,400
86,2016,1,275000,796,180,400
88,2012,1,290000,1086,224,436
89,2017,1,280000,796,168,390
90,2010,1,225000,998,197,408
91,2015,1,455000,1198,242,27
92,2015,1,351000,1086,224,436
93,2012,1,535000,1598,14,129
94,2009,1,175000,998,222,424
95,2013,1,525000,1197,265,37
96,2016,1,600000,1248,242,178
97,2016,0,565000,1197,262,50
98,2008,1,120000,796,178,398
99,2017,1,725000,1396,290,221
100,2009,1,185000,998,220,424
